"","X","locationID","SampleID","MaizeFlourType","otherTypes","Source","MonthsSinceHarvested","Village","Ward","Latitude_dd","Longitude_dd","Elev_masl","Aflatoxin_ppb","Fumonisin_ppm"
"113",113,"17nov15_03","HH38_FMN_106","Sifted maize flour","","homegrown","4","Suguta","Iduo",-6.29481232,36.68392587,1122,8.7,1.76
"114",114,"17nov15_03","HH39_FMN_109","Sifted maize flour","","homegrown","4","Suguta","Iduo",-6.29440312,36.68263059,1113,0.5,0.67
"115",115,"17nov15_03","HH40_FMN_116","Sifted maize flour","","homegrown","4","Suguta","Iduo",-6.29625732,36.68313858,1108,2.2,0.02
"117",117,"18nov15_01","HH42_FMN_120","Whole maize flour","","purchased","Unknown","Sejeli","Sejeli",-6.02524897,36.32058366,987,2.4,0.06
"118",118,"18nov15_02","HH43_FMN_122","Whole maize flour","","purchased","5","Sejeli","Sejeli",-6.03206469,36.32265645,974,113.4,0.07
"119",119,"18nov15_02","HH44_FMN_123","Sifted maize flour","","","","Sejeli","Sejeli",-6.03206469,36.32265645,974,26.3,0.21
"120",120,"18nov15_03","HH45_FMN_127","Whole maize flour","","purchased","5","Msunjilile","Sejeli",-5.96326283,36.35385413,1059,15.2,0.17
"121",121,"18nov15_03","HH46_FMN_128","Whole maize flour","","purchased","5","Msunjilile","Sejeli",-5.96281479,36.35437528,1066,90.5,0.37
"122",122,"18nov15_03","HH47_FMN_129","Whole maize flour","","purchased","5","Msunjilile","Sejeli",-5.96445129,36.35329009,1054,13.6,0.79
"124",124,"19nov15_02","HH49_FMN_132","Whole maize flour","","homegrown","4","Chilanjilizi","Ngomai",-5.88888871,36.61539589,1274,13.7,0.44
"125",125,"19nov15_02","HH50_FMN_136","Sifted and soaked maize flour","","purchased","4","Chilanjilizi","Ngomai",-5.8885062,36.6147949,1307,1.7,0.04
"126",126,"19nov15_02","HH51_FMN_140","Whole maize flour","","purchased","5","Chilanjilizi","Ngomai",-5.888266,36.61361628,1265,6.3,0.64
"127",127,"19nov15_02","HH52_FMN_142","Sifted maize flour","","homegrown","4","Chilanjilizi","Ngomai",-5.88943593,36.6141072,1268,5.3,0.01
"128",128,"19nov15_03","HH53_FMN_146","Sifted maize flour","","purchased","Unknown","Manyata","Ngomai",-6.02355318,36.64137149,1205,7.2,0.01
"129",129,"19nov15_03","HH54_FMN_149","Sifted maize flour","","homegrown","6","Manyata","Ngomai",-6.02560092,36.64114806,1177,3.8,0
"130",130,"20nov15_01","HH55_FMN_151","Whole maize flour","","homegrown","4","Makawa","Makawa",-5.7553799,36.54243241,1301,8.3,0.1
"131",131,"20nov15_01","HH56_FMN_153","Whole maize flour","","purchased","4","Makawa","Makawa",-5.75578616,36.54194551,1305,10,0.11
"132",132,"20nov15_01","HH57_FMN_156","Sifted and soaked maize flour","","purchased","4","Makawa","Makawa",-5.75496578,36.54089909,1291,22.8,0.14
"133",133,"20nov15_02","HH58_FMN_160","Sifted and soaked maize flour","","purchased","4","Makawa","Makawa",-5.75326199,36.53960874,1294,7.4,0.03
"134",134,"20nov15_03","HH59_FMN_162b","Whole maize flour","","purchased","4","Muungano","Makawa",-5.76086043,36.54977352,1332,17.8,0.36
"135",135,"20nov15_03","HH60_FMN_164","Sifted and soaked maize flour","","purchased","5","Muungano","Makawa",-5.76165495,36.55031928,1317,2,0.23
"136",136,"20nov15_03","HH61_FMN_167","Sifted and soaked maize flour","","purchased","6","Muungano","Makawa",-5.76163748,36.54942761,1304,5.3,0.14
