"","locationID","SampleID","MaizeFlourType","otherTypes","source","TimeSinceHarvested","Village","Ward","Latitude_dd","Longitude_dd","Elev_masl","Aflatoxin_ppb","Fumonisin_ppm"
"63","19nov15_01","19nov15_01_002","sembe","none","homegrown","5","Chilanjilizi","Ngomai","-5.88856241","36.61543432","1183",111.6,0.02
"64","19nov15_01","19nov15_01_003","dona","none","purchased","5","Manyata","Ngomai","-6.02405302","36.64217561","1269",69.1,0.04
"65","19nov15_01","19nov15_01_004","none","wholekmaize","homegrown","5","Manyata","Ngomai","-6.02405302","36.64217561","1269",NA,NA
"66","20nov15_01","20nov15_01_001","dona","none","homegrown","4","Makawa","Makawa","-5.75523298","36.54230573","1285",7.7,0.11
"67","20nov15_01","20nov15_01_002","dona","wholekmaize","homegrown","4","Makawa","Makawa","-5.75523298","36.54230573","1285",6.3,0.95
"68","20nov15_02","20nov15_02_001","sembe","wholekmaize","homegrown","4","Makawa","Makawa","-5.75346239","36.53955353","1291",2.6,0.04
"69","20nov15_02","20nov15_02_002","dona","none","purchased","4","Makawa","Makawa","-5.75346239","36.53955353","1291",2.7,0.42
"70","20nov15_02","20nov15_02_003","sembe","none","homegrown","4","Makawa","Makawa","-5.75346239","36.53955353","1291",1.1,0.73
"71","20nov15_03","20nov15_03_001","sembe","none","homegrown","4","Muungano","Makawa","-5.76081181","36.54889248","1308",72.8,0.67
"72","20nov15_03","20nov15_03_002","sembe","none","homegrown","4","Muungano","Makawa","-5.76081181","36.54889248","1308",6.9,0.27
"73","20nov15_04","20nov15_04_001","sembe","none","homegrown","5","Muungano","Makawa","-5.76664176","36.54871495","1308",39.6,0.3
"74","20nov15_04","20nov15_04_002","sembe","none","homegrown","5","Muungano","Makawa","-5.76664176","36.54871495","1308",7.3,0.44
"75","20nov15_04","20nov15_04_003","dona","none","homegrown","4","Muungano","Makawa","-5.76664176","36.54871495","1308",19.7,1.18
